名稱,類別,單位價格,熱量(kcal),蛋白(g),碳水化合物(g),維生素A(I.U.),鈣(mg),脂肪(g),膽固醇(mg),鈉(mg),膳食纖維(g),維生素C(mg)
酪梨(室溫存放6天),水果,22.7,83.0325,1.517,6.5564,79.2202,4.347,7.5884,0,0.548,5.7391,5.101
榴槤,水果,30,130.0278,2.616,31.5997,16.666,5.0502,1.615,0,2.6114,3.774,52.222
突目1號鳳梨,水果,6.8,54.6088,0.624,14.5402,0,4.0931,0.2061,0,0.0265,0.9735,10.904
鳳梨平均值(雜交種),水果,6.8,50.9789,0.7379,13.6018,29.3008,10.4463,0.1454,0,0.339,1.0525,12.0359
金鑽鳳梨,水果,5.9,48.7073,0.501,13.2495,14.9741,4.9215,0.1262,0,0.5375,1.0816,23.513
牛奶鳳梨,水果,4,59.2877,0.7795,15.3991,0,11.087,0.2892,0,0.3495,0.743,6.8975
釋迦,水果,23.6,99.4782,2.2,26.64,0,18,0.06,0,7,2.7,99
鳳梨釋迦,水果,20.8,99.4206,1.5105,26.0073,0,14.578,0.415,0,2.3035,1.7216,27.279
桑葚,水果,9,29.9544,1.137,6.9727,53.7712,41.4314,0.3676,0,0.786,1.2778,9.209
桑葚汁,水果,9,24.5371,0.815,5.8665,49.883,26.7668,0.155,0,0.48,0.3863,8.57
草莓,水果,55.7,35.868,0.963,9.2799,25.1873,16.104,0.2439,0,6.7619,1.7605,69.181
芭樂平均值(白肉),水果,9.6,31.9504,0.6994,9.6028,69.1865,6.7038,0.0856,0,1.9271,3.5538,120.875
牛乳芭樂,水果,13.3,27.9068,0.532,8.5199,0,6.0113,0.079,0,0.4652,3.2585,145.52
世紀芭樂,水果,9.6,34.1963,0.662,10.2531,25.714,15.3291,0.068,0,0.4396,3.4427,131.1835
珍珠芭樂,水果,10,36.0784,0.7225,10.5989,27.5914,6.6582,0.1649,0,0.4996,3.6784,193.7025
無子芭樂,水果,16,28.6964,0.74,8.5848,56.8261,4.224,0.0016,0,0.1583,2.9429,93.144
紅心芭樂,水果,9.9,35.7425,0.757,10.7164,618.4936,5.046,0.1089,0,1.182,3.9322,214.37
楊桃平均值,水果,3.4,30.021,0.5262,8.2414,36.0046,1.6455,0.0706,0,0.3201,1.2545,44.3401
楊桃(11月取樣),水果,3.5,29.2218,0.438,8.0466,93.2929,0.6496,0.0444,0,0.2457,0.9933,32.258
楊桃(2月取樣),水果,3.6,27.0115,0.438,7.5781,0,1.8256,0.0734,0,0.0877,1.4723,43.02
楊桃(4月取樣),水果,3.7,29.6998,0.651,8.1398,52.4162,2.698,0.0722,0,0.435,1.497,57.828
楊桃(5月取樣),水果,3.8,32.9448,0.636,8.6792,0,1.875,0.127,0,0.3473,0.9377,36.467
楊桃(9月取樣),水果,3.9,31.227,0.468,8.7635,34.3136,1.1793,0.036,0,0.4848,1.3721,52.1275
美國紅葡萄,水果,34.3,67.8178,0.443,17.7089,31.6654,5.0046,0.4035,0,7.9209,0.5,2.5875
巨峰葡萄,水果,16.8,63.1609,0.52,16.5539,5.2986,4.8369,0.2633,0,0.9866,0.2401,2.163
美國綠葡萄,水果,26.8,63.3408,0.5385,16.8136,924.963,4.4551,0.1935,0,7.0882,0.3857,4.538
意大利葡萄,水果,12,51.3412,0.499,13.6912,71.2821,2.4838,0.113,0,0.1844,0.356,1.899
蓮霧平均值(粉紅色種),水果,18.6,33.9579,0.4105,9.0246,9.5249,2.9898,0.1725,0,1.6347,0.8462,9.9712
華寶大西瓜(花蓮),水果,3.3,31.9975,0.654,8.4475,379.2115,16.961,0.059,0,1.44,0.6905,7.894
黑美人西瓜,水果,4.5,35.9908,0.912,9.0829,281.0213,11.4827,0.0839,0,1.6611,0.2964,6.456
鳳光西瓜,水果,3,26.6999,0.673,6.494,1352.7626,3.862,0.2189,0,0.968,0.4825,7.144
無子西瓜,水果,7.8,31.9343,0.875,8.2017,611.9389,15.226,0.0451,0,0.61,0.5683,7.874
小玉西瓜,水果,4.1,34.0375,0.791,8.6389,1.6666,5.2946,0.09,0,2.4225,0.296,6.715
甜瓜平均值(光皮洋香瓜),水果,6.9,28.5978,0.8727,7.2043,112.0625,8.7554,0.0773,0,13.0543,0.573,10.7919
新疆哈蜜瓜,水果,9.1,26.7375,0.7,6.865,3424.863,14.5,0.085,0,29,0.65,25.5
甜瓜平均值(網紋洋香瓜),水果,9.1,35.988,0.9182,9.3138,1080.0235,8.4266,0.04,0,13.2864,0.6009,15.2468
芒果平均值(西洋種),水果,12.8,48.4094,0.5779,12.9509,1864.984,7.8386,0.213,0,4.7542,1.2115,22.6504
凱特芒果,水果,6.8,48.4765,1.145,12.4777,680.1245,9.015,0.1603,0,0.566,1.0201,17.301
愛文芒果,水果,18,40.9428,0.3567,11.0064,1920.4155,6.4458,0.1837,0,1.4656,0.8852,23.5177
聖心芒果,水果,6.9,47.9566,0.47,12.8676,823.2154,11.534,0.2455,0,0.385,1.2505,38.903
玉荷苞荔枝,水果,7.5,67.0522,1.168,17.3064,0.8016,2.3349,0.2426,0,0.2381,0.7537,60.4185
黑葉仔荔枝,水果,7.8,60.2356,0.9033,15.7574,0,5.6852,0.2294,0,2.2498,0.9039,44.27
龍眼,水果,17.1,69.6986,1.1275,17.8808,0,4.5375,0.528,0,2.5862,1.8,95.4005
紅肉李(大),水果,17.6,38.1644,0.5315,10.0037,678.3604,5.0248,0.3323,0,0.0003,1.5101,2.1405
加州紅李(進口),水果,18.6,57.6347,0.818,15.3065,419.8717,4.7737,0.2653,0,3.5,1.5236,10.84
枇杷,水果,7.8,36.4924,0.327,9.7937,1346.625,11.7799,0.1907,0,4.3127,0.9124,3.8668
筆柿,水果,5.5,62.7633,0.574,18.3445,815.2741,7.0085,0.149,0,1.9299,4.0329,18.626
甜柿(進口),水果,19.1,55.3049,0.5715,15.2588,1105.13,7.465,0.0765,0,5.4062,1.3671,75.8795
水蜜桃,水果,46.8,37.5889,0.906,9.8665,244.4347,5.4695,0.1389,0,3.4017,1.3358,6.6067
西洋梨平均值,水果,21.2,49.3989,0.2543,14.0568,9.3485,9.3576,0.1587,0,0.4537,2.1177,4.5898
橫山梨,水果,4.2,43.6092,0.4055,12.3734,0,1.9601,0.0825,0,4.7379,1.8675,3.1453
梨山蜜梨,水果,14,44.7117,0.289,12.6475,0,1.3509,0.091,0,0.2036,1.595,2.933
蘋果平均值(混色),水果,22.5,49.2574,0.2123,13.8587,11.7187,3.5827,0.095,0,1.1926,1.3388,2.8817
櫻桃,水果,132,72.7777,1.2155,19.0748,20.4368,14.6145,0.2603,0,2.2269,1.3465,10.7315
椪柑,水果,5.2,37.7962,0.804,10.0426,571.2655,20.5727,0.1548,0,1.6891,1.4714,25.455
茂谷柑,水果,9,42.2649,0.595,11.4914,642.6543,23.8542,0.1223,0,0.6009,1.3294,26.364
文旦,水果,4.8,31.4163,0.69,8.4228,0,9.2289,0.1003,0,0.9882,1.2898,51.1103
柳橙,水果,6.8,40.1884,0.799,11.0454,0,28.4371,0.122,0,5.3037,2.0505,41.201
青皮葡萄柚,水果,5,31.2212,0.751,8.2991,0,15.421,0.0851,0,1.035,1.182,28.454
檸檬,水果,10.8,31.3348,0.708,7.35,0,25.83,0.5335,0,3.833,1.2309,34.027
紅甘蔗汁,果汁,7,63.0994,0.5325,15.8574,23.9774,22.559,0.5414,0,0.478,0.1925,1.3135
可可椰子汁平均值,果汁,10.4,18.1647,0.124,4.8808,0,17.7451,0.0215,0,10.1548,0.0016,0.9863
胡蘿蔔,小吃,2.1,32.0455,1.005,8.4915,11199.2051,29.6825,0.1761,0,67.1443,2.7255,5.157
白蘿蔔,小吃,1.9,13.9358,0.695,3.3226,0,23.1981,0.146,0,27.0346,1.087,15.3263
球莖甘藍,小吃,3.5,18.268,1.5563,3.5837,0.1588,23.1792,0.2257,0,17.6559,0.8816,52.738
桂竹筍片,小吃,7.3,12.5924,1.011,3.2687,0,11.4675,0.218,0,815.4643,2.4363,0
綠蘆筍,小吃,33.8,19.5937,1.348,4.4582,1326.5369,15.1551,0.1639,0,6.0314,1.4194,9.7287
嫩薑,小吃,8.4,18.5814,0,4.75,33.332,14,0.32,0,12,1.38,11
粉薑,小吃,6.7,23.2109,0.98,6.0567,2.4007,17.0998,0.2629,0,7.2318,2.7254,2.9603
老薑,小吃,10.6,46.5044,1.143,11.6803,50.978,21.1641,0.4836,0,4.2429,3.2059,2.9277
大蒜,小吃,10.8,114.556,6.6885,26.4265,0,11.1343,0.2269,0,4.2509,4.1739,8.3205
九層塔,小吃,9.7,21.1645,2.904,4.389,16050.2971,190.8015,0.351,0,1.6471,3.4205,13.7645
紫色甘藍,小吃,5.7,24.4204,1.484,5.9071,22.4991,51.033,0.1836,0,13.3745,2.1274,44.661
蚵仔白菜,小吃,4.9,9.9176,1.6,1.12,2958.215,28,0.48,0,25,1.4,6
黑葉白菜(短梗),小吃,5.3,12.702,1.343,2.8969,5676.0901,100.6832,0.0386,0,56.9583,1.283,32.605
土植小白菜(10月取樣),小吃,4.1,9.3261,1.065,1.6971,299.888,109.2,0.24,0,70.87,1.1009,17.253
油菜,小吃,4.8,9.0538,1.419,1.6377,3084.8533,87.8881,0.2325,0,72.762,1.5774,25.0077
青江菜平均值,小吃,4.9,9.9833,1.3342,2.0618,1321.6947,101.6196,0.1396,0,47.0409,1.4323,28.4753
芹菜(青梗),小吃,6.1,10.1523,0.779,2.4264,969.1192,85.6394,0.098,0,46.2355,1.1431,7.902
芹菜(黃梗),小吃,7.5,15.4659,0.8075,3.8435,358.319,80.7419,0.1595,0,84.6831,1.5655,5.2745
大芥菜,小吃,4.2,16.1236,0.75,3.37,666.64,98,0.48,0,35,1.58,34
芥藍菜,小吃,6.9,16.228,1.738,3.1933,7377.9044,180.6264,0.3473,0,26.7996,1.9402,51.9
茼蒿,小吃,10.9,12.731,1.741,2.2086,4388.4561,46.3886,0.3063,0,69.0844,1.583,10.4797
紅莧菜,小吃,6.4,14.7376,2.9335,2.6496,11050.8896,218.1809,0.2308,0,10.6937,2.7439,16.0175
菠菜,小吃,10.1,14.2361,2.1873,2.4416,6163.1051,80.861,0.3151,0,43.4573,1.9233,12.079
